ID,dc1,dc2,organic,SoilOrganicMatter0to10cmPercentage,SoilOrganicMatter10to20cmPercentage,Polyphenols,Antioxidants,Dry Mass % (x 100),Soil 10-20cm Total Organic Carbon %
3215,0.916008044730976,-1.0009825126402347,FALSE,4.99,3.82,50.18,894.8,0.086,2.22
3216,1.7399972710804548,0.8884233129963377,FALSE,3.49,4.71,46.35,5451.74,0.08,2.73
3208,1.059370432931324,0.2890289260849386,FALSE,8.34,6.74,26.67,561.36,0.086,3.91
3209,1.2346722890637523,2.067377331890839,FALSE,8.28,7.06,22.52,491,0.105,4.09
3210,1.391600010182401,2.205282509505878,FALSE,8.03,7.44,25.57,669.03,0.109,4.31
3211,0.975167339384349,1.6546238776243172,FALSE,7.09,6.61,39.81,687.25,0.071,3.83
3212,1.1239054037292888,0.22636846137652356,FALSE,8,6.55,37.14,621.34,0.095,3.8
3213,1.2616358133206447,-1.2708674706802867,FALSE,7.47,6.49,34.14,637.1,0.095,3.77
2156,1.1587630844349235,1.0329272880952658,TRUE,7.41,4.52,8.01,77.91,0.138,2.62
2042,0.6277288836779036,0.5487319760986793,FALSE,20.6,12.67,5.43,72.45,0.083,7.35
2047,1.430085451122011,0.5921128440177199,FALSE,19.74,14.98,4.6,19.6,0.105,8.69
2093,0.7591506299245694,1.9558359096661206,FALSE,6.11,5.25,21.46,271.99,0.065,3.04
3169,1.06632175459103,-0.20442397375109067,FALSE,6.76,5.41,5.34,58.94,0.091,3.14
3170,1.2110653409947076,0.5053930841115744,FALSE,6.7,6,5.36,38.58,0.096,3.48
3171,1.174776001263396,-0.24753822676120762,FALSE,6.75,5.72,7.93,74.76,0.096,3.32
3166,1.130970916379482,1.7351507977550682,FALSE,7.29,5.3,58.29,1819.58,0.113,3.07
3168,1.0534138966875162,0.8831537477288975,FALSE,6.11,4.83,39.8,722.77,0.102,2.8
3167,0.8472862069187101,-0.13988326420110297,FALSE,5.49,3.98,53.62,1686.76,0.077,2.31
2546,2.282834791990391,-0.3545417045889394,FALSE,2.55,2.22,206.3,7489.34,0.206,1.29
2159,3.7416284235741895,-1.4739347646189458,FALSE,1.75,1.68,116.27,19105.7,0.173,0.98
2148,2.933881535263426,2.77319212673558,FALSE,1.78,1.84,57.46,4368.67,0.279,1.06
3342,2.465955329401311,2.233985016731822,TRUE,11.49,14.49,21.55,210.44,0.119,8.4
3448,4.429698608023031,0.7083877540844696,TRUE,-3.79,7.26,111.27,7761.48,0.198,4.21
3442,2.7194203599260405,-0.9499408171257073,TRUE,6.96,7.25,99.41,7692.13,0.159,4.21
3447,3.5539636289995045,2.4138995771600094,TRUE,7.19,7.25,71.46,4853.76,0.298,4.2
3450,2.9778257211078127,2.3855752985534764,TRUE,7.41,7.13,70.84,6708.12,0.216,4.13
2468,3.849013336731417,-0.9965665458266812,TRUE,17.63,20.16,122.77,7842.6,0.147,11.7
3551,1.6036877875759785,0.27653415244776625,TRUE,9.88,12.17,102.02,560.76,0.069,7.06
2018,3.484328969408594,1.855238116582541,TRUE,6.4,5.8,109.35,12390.8,0.222,3.36
2019,1.9465580467586605,0.9232351110708805,TRUE,9.09,7.76,100.38,3647.95,0.158,4.5
2020,3.0578160318152356,0.03786979040114602,TRUE,15.32,13.65,88.66,9205.26,0.152,7.92
3330,2.5314540535117658,-1.0457097205567152,TRUE,21.29,18.28,41.55,1489.16,0.157,10.61
3323,1.5402096319641032,0.2730594950323848,TRUE,5.53,5.24,171.42,1879.93,0.165,3.04
3391,1.4717164366712723,0.3045779669039348,TRUE,8.58,9.05,44.64,821.81,0.084,5.25
2917,0.8053840417592752,0.805439566733412,FALSE,6.71,5.14,48.51,597.74,0.081,2.98
2023,0.9645656929400559,0.3449797296551651,TRUE,6.88,5.12,25.08,285.31,0.095,2.97
2022,0.984512262223042,-0.23113114538887203,TRUE,6.44,4.91,24.53,250.22,0.093,2.85
