State,Source,ID,Type,FarmPractices,StoreName,Farmer,Polyphenols,Antioxidants,Flavor0to5,ShippingTimehrs,TotalTimehrs,MaturityDays,Sweetness0to5,Taste0to5,sourceName,sourceClass
north_carolina,store,3801.3,kale,certified_organic,bounty_and_soul,NA,410.06,26057.6,NA,NA,NA,NA,NA,NA,bounty_and_soul,namedStore
north_carolina,store,3801.2,kale,certified_organic,bounty_and_soul,NA,464.45,26284.1,NA,NA,NA,NA,NA,NA,bounty_and_soul,namedStore
north_carolina,store,3801.1,kale,certified_organic,bounty_and_soul,NA,363.38,22019.6,NA,NA,NA,NA,NA,NA,bounty_and_soul,namedStore
north_carolina,store,3802.3,kale,certified_organic,bounty_and_soul,NA,368.2,27784.2,NA,NA,NA,NA,NA,NA,bounty_and_soul,namedStore
north_carolina,store,3802.2,kale,certified_organic,bounty_and_soul,NA,513.09,17494.4,NA,NA,NA,NA,NA,NA,bounty_and_soul,namedStore
north_carolina,store,3802.1,kale,certified_organic,bounty_and_soul,NA,379.32,23288.2,NA,NA,NA,NA,NA,NA,bounty_and_soul,namedStore
north_carolina,store,3800.3,kale,certified_organic,bounty_and_soul,NA,416.84,26770.3,NA,NA,NA,NA,NA,NA,bounty_and_soul,namedStore
north_carolina,store,3800.2,kale,certified_organic,bounty_and_soul,NA,430.12,30882.5,NA,NA,NA,NA,NA,NA,bounty_and_soul,namedStore
north_carolina,store,3800.1,kale,certified_organic,bounty_and_soul,NA,553.27,2129.2,NA,NA,NA,NA,NA,NA,bounty_and_soul,namedStore
north_carolina,store,3803,cherry_tomato,other non_gmo,bounty_and_soul,NA,49.36,1022.35,4,70.4,75.88000000000001,NA,4,4,bounty_and_soul,namedStore
north_carolina,store,3804,cherry_tomato,other non_gmo,bounty_and_soul,NA,40.51,940.68,4,70.4,148,NA,4,4,bounty_and_soul,namedStore
north_carolina,store,3805,cherry_tomato,other non_gmo,bounty_and_soul,NA,54.61,964.67,4,70.4,75.56,NA,4,4,bounty_and_soul,namedStore
north_carolina,store,3813,lettuce,none,bounty_and_soul,NA,38.02,386.2,NA,69.51,169.9,NA,NA,NA,bounty_and_soul,namedStore
north_carolina,store,3812,lettuce,certified_organic,bounty_and_soul,NA,43.95,658.65,NA,69.58,171.14,NA,NA,NA,bounty_and_soul,namedStore
new_york,farm_market,4571.3,kale,certified_organic,NA,organics today,678.55,9847.52,NA,NA,NA,NA,NA,NA,organics today,farmer
new_york,farm_market,4571.1,kale,certified_organic,NA,organics today,587.84,1860.24,NA,NA,NA,NA,NA,NA,organics today,farmer
new_york,farm_market,4571.2,kale,certified_organic,NA,organics today,818.74,1723.66,NA,NA,NA,NA,NA,NA,organics today,farmer
